Product Name/Title,Product Description Test,Product Description Summary,Product Size,Product Price (USD),UOM (Unit of Measure),Availability Status,SKU Number,Manufacturer #/ Category #,Vendor Name,Vendor Fulfillment Center,Vendor Email,Vendor Phone Number,Vendor Website URI,Vendor Website Link text,Manufacturer Name,Manufacturer Phone Number,Product Category,Product Type,"Vendor Address (Region, Country)",Comments,Supplier Reviewed,Revision log message
1200N95 DIRT DAWG N95 PARTICULATE RESPIRATOR 234551,1200N95 DIRT DAWG N95 PARTICULATE RESPIRATOR,1200N95 DIRT DAWG N95 PARTICULATE RESPIRATOR,N/A, $28.15 , 20/box ,Available - In Stock,234551,we234w24,Hub Industrial Supply,"New York, United States",example1@example2.com,,http://www.hubindustrial.com/068-003-095.html,http://www.hubindustrial.com/068-003-095.html,,12125842158,Mask,Mask,"New York, United States","Dust masks, N-95 disposable respirators, and coveralls will be sold to existing customers only
Quantities of these items will be restricted not to exceed historic volume for each customer",,"Dust masks, N-95 disposable respirators, and coveralls will be sold to existing customers only
Quantities of these items will be restricted not to exceed historic volume for each customer"
"MOLDEX¨ AIR WAVE¨ N95 PARTICULATE RESPIRATOR, MEDIUM / LARGE 234552","MOLDEX¨ AIR WAVE¨ N95 PARTICULATE RESPIRATOR, MEDIUM / LARGE","MOLDEX¨ AIR WAVE¨ N95 PARTICULATE RESPIRATOR, MEDIUM / LARGE",N/A, $26.10 , 10/box ,Available - In Stock,234552,we234w25,Hub Industrial Supply,"New York, United States",example1@example2.com,,http://www.hubindustrial.com/068-003-082.html,http://www.hubindustrial.com/068-003-082.html,Moldex,12125842158,Mask,Mask,"New York, United States","Dust masks, N-95 disposable respirators, and coveralls will be sold to existing customers only
Quantities of these items will be restricted not to exceed historic volume for each customer",,"Dust masks, N-95 disposable respirators, and coveralls will be sold to existing customers only
Quantities of these items will be restricted not to exceed historic volume for each customer"
"MOLDEX¨ AIR WAVE¨ N95 PARTICULATE RESPIRATOR, SMALL 234553","MOLDEX¨ AIR WAVE¨ N95 PARTICULATE RESPIRATOR, SMALL","MOLDEX¨ AIR WAVE¨ N95 PARTICULATE RESPIRATOR, SMALL",N/A, $21.49 , 10/box ,Available - In Stock,234553,we234w26,Hub Industrial Supply,"New York, United States",example1@example2.com,,http://www.hubindustrial.com/068-003-089.html,http://www.hubindustrial.com/068-003-089.html,Moldex,12125842158,Mask,Mask,"New York, United States","Dust masks, N-95 disposable respirators, and coveralls will be sold to existing customers only
Quantities of these items will be restricted not to exceed historic volume for each customer",,"Dust masks, N-95 disposable respirators, and coveralls will be sold to existing customers only
Quantities of these items will be restricted not to exceed historic volume for each customer"
3M N95 WELDING PARTICULATE RESPIRATOR WITH VALVE 234554,3M N95 WELDING PARTICULATE RESPIRATOR WITH VALVE,3M N95 WELDING PARTICULATE RESPIRATOR WITH VALVE,N/A, $101.30 , 10/box ,Available - In Stock,234554,we234w27,Hub Industrial Supply,"New York, United States",example1@example2.com,,http://www.hubindustrial.com/068-003-057.html,http://www.hubindustrial.com/068-003-057.html,3M,12125842158,Mask,Mask,"New York, United States","Dust masks, N-95 disposable respirators, and coveralls will be sold to existing customers only
Quantities of these items will be restricted not to exceed historic volume for each customer",,"Dust masks, N-95 disposable respirators, and coveralls will be sold to existing customers only
Quantities of these items will be restricted not to exceed historic volume for each customer"
MOLDEX¨ 2200N95HV HI-VIS N95 PARTICULATE RESPIRATOR 234555,MOLDEX¨ 2200N95HV HI-VIS N95 PARTICULATE RESPIRATOR,MOLDEX¨ 2200N95HV HI-VIS N95 PARTICULATE RESPIRATOR,N/A, $34.96 , 20/box ,Available - In Stock,234555,we234w28,Hub Industrial Supply,"New York, United States",example1@example2.com,,http://www.hubindustrial.com/068-003-100.html,http://www.hubindustrial.com/068-003-100.html,Moldex,12125842158,Mask,Mask,"New York, United States","Dust masks, N-95 disposable respirators, and coveralls will be sold to existing customers only
Quantities of these items will be restricted not to exceed historic volume for each customer",,"Dust masks, N-95 disposable respirators, and coveralls will be sold to existing customers only
Quantities of these items will be restricted not to exceed historic volume for each customer"
 234556,,,N/A, NA , NA ,Available - In Stock,234556,we234w29,www.selectsafetysales.com,"New York, United States",example1@example2.com,866-864-3495,https://www.selectsafetysales.com/c-129-disposable-respirators.aspx,https://www.selectsafetysales.com/c-129-disposable-respirators.aspx,,12125842158,Mask,Mask,"New York, United States",mkane@selectsafetysales.com,,mkane@selectsafetysales.com
3 Ply Face Masks 234557,3 Ply Face Masks,3 Ply Face Masks,N/A, $0.28 , N/A ,Available - In Stock,234557,we234w30,"ADD: NO. 8 Hewan Industrial District, Yanhe Road, Xiantao City, Hubei Pro. 433000 China.","New York, United States",example1@example2.com,"86-728-3280667   
Fax: 86-728-3257965",http://xtlingyang.com,http://xtlingyang.com,Xianto Lingyang Plastic Co. LTD,12125842158,Mask,Mask,"New York, United States","Price is pre-shipping. They can produce about 200K masks a day and can get them produced and to a port for air shipping within 3-4 days. 3-ply face mask, with melt-blown filter, 50pc/box, 40box/carton, MOQ 200,000pcs, FOB shanghai USD$0.28/pc, payment term: 100% TT",,"Price is pre-shipping. They can produce about 200K masks a day and can get them produced and to a port for air shipping within 3-4 days. 3-ply face mask, with melt-blown filter, 50pc/box, 40box/carton, MOQ 200,000pcs, FOB shanghai USD$0.28/pc, payment term: 100% TT"
K95 masks  (alternative to 3M N95) 234558,K95 masks  (alternative to 3M N95),K95 masks  (alternative to 3M N95),N/A, $1.75 , N/A ,Available - In Stock,234558,we234w31,"Chris: 703-627-0334  Minority Woman Owned 8(A) certified   U.S. Mask Supply, LLC    21525 Ridgetop Circle Suite 190  Sterling, VA 20166","New York, United States",example1@example2.com,"703-627-0334
800-674-9863",http://USMaskSupply.com ,http://USMaskSupply.com ,,12125842158,Mask,Mask,"New York, United States",,,
Moldex 2700N95 Series Particulate Respirator 234559,Moldex 2700N95 Series Particulate Respirator,Moldex 2700N95 Series Particulate Respirator,N/A, $33.12 , N/A ,Available - In Stock,234559,we234w32,Geotech Supply,"New York, United States",example1@example2.com,, https://www.geotechsupply.com/moldex2700n95seriesparticulaterespirators.aspx , https://www.geotechsupply.com/moldex2700n95seriesparticulaterespirators.aspx ,Moldex,12125842158,Mask,Mask,"New York, United States","Duplicate row, see row #15",,"Duplicate row, see row #15"
Reusable Half Mask Respirators 234560,Reusable Half Mask Respirators,Reusable Half Mask Respirators,N/A, $18.10 N/A $45.75 , EA ,Available - In Stock,234560,we234w33,Grainger,"New York, United States",example1@example2.com,800-472-4643,"https://www.grainger.com/category/safety/respiratory-protection/half-mask-respirators?attrs=Disposable%2F+Reusable%7CDisposable%7CReusable~~Half+Mask+Suspension+Type%7CStandard&branchAvailability=112&brandName=3M%7CHONEYWELL+NORTH%7CMOLDEX%7CMSA&filters=attrs,branchAvailability,brandName","https://www.grainger.com/category/safety/respiratory-protection/half-mask-respirators?attrs=Disposable%2F+Reusable%7CDisposable%7CReusable~~Half+Mask+Suspension+Type%7CStandard&branchAvailability=112&brandName=3M%7CHONEYWELL+NORTH%7CMOLDEX%7CMSA&filters=attrs,branchAvailability,brandName",Moldex,12125842158,Mask,Mask,"New York, United States",Called supplier directly on 3/30. Supplier confirmed that no types of masks or respirators are available currently and can't even give an idea of how long before restocking.,Called by AMR on 3/30,Called supplier directly on 3/30. Supplier confirmed that no types of masks or respirators are available currently and can't even give an idea of how long before restocking.
8000 Series Paint Spray/Pesticide Assembled Reusable Half Mask Respirator Size-Large (Respiratory Mask) 234561,8000 Series Paint Spray/Pesticide Assembled Reusable Half Mask Respirator Size-Large (Respiratory Mask),8000 Series Paint Spray/Pesticide Assembled Reusable Half Mask Respirator Size-Large (Respiratory Mask),N/A, $35.79 , EA ,Available - In Stock,234561,we234w34,AG Safety,"New York, United States",example1@example2.com,602-535-2000,https://www.agssafety.com/default.aspx?page=item%20detail&itemcode=8113N,https://www.agssafety.com/default.aspx?page=item%20detail&itemcode=8113N,Moldex,12125842158,Mask,Mask,"New York, United States",Called supplier directly on 3/30. Supplier confirmed that no types of masks or respirators are available currently and don't expect availability till another 8 to 10 weeks.,Called by AMR on 3/30,Called supplier directly on 3/30. Supplier confirmed that no types of masks or respirators are available currently and don't expect availability till another 8 to 10 weeks.
2801N95 Dust\Organic Vapor Mask Bg10 Sm 234562,2801N95 Dust\Organic Vapor Mask Bg10 Sm,2801N95 Dust\Organic Vapor Mask Bg10 Sm,N/A, $529.82 , CA ,Available - In Stock,234562,we234w35,AG Safety,"New York, United States",example1@example2.com,602-535-2000,https://www.agssafety.com/default.aspx?page=item%20detail&itemcode=2801N94,https://www.agssafety.com/default.aspx?page=item%20detail&itemcode=2801N95,Moldex,12125842158,Mask,Mask,"New York, United States",Called supplier directly on 3/30. Supplier confirmed that no types of masks or respirators are available currently and don't expect availability till another 8 to 10 weeks.,Called by AMR on 3/30,Called supplier directly on 3/30. Supplier confirmed that no types of masks or respirators are available currently and don't expect availability till another 8 to 10 weeks.
1501 Nuisance Mask 234563,1501 Nuisance Mask,1501 Nuisance Mask,N/A, $5.82 , BX ,Available - In Stock,234563,we234w36,Ark Safety,"New York, United States",example1@example2.com,717-692-4837,https://www.arksafety.com/products/nuisance-mask-1,https://www.arksafety.com/products/nuisance-mask-0,,12125842158,Mask,Mask,"New York, United States",Called supplier directly on 3/30. Supplier confirmed that no types of masks or respirators are available currently and don't expect availability till atleast 2 months.,Called by AMR on 3/30,Called supplier directly on 3/30. Supplier confirmed that no types of masks or respirators are available currently and don't expect availability till atleast 2 months.
N95 Particulate Filter Respirator & Surgical Mask 234564,N95 Particulate Filter Respirator & Surgical Mask,N95 Particulate Filter Respirator & Surgical Mask,N/A, $225.33 , CA ,Available - In Stock,234564,we234w37,Ark Safety,"New York, United States",example1@example2.com,717-692-4837,https://www.arksafety.com/products/n95-particulate-filter-respirator-surgical-mask-1,https://www.arksafety.com/products/n95-particulate-filter-respirator-surgical-mask-0,Kimberly-Clark,12125842158,Mask,Mask,"New York, United States",Called supplier directly on 3/30. Supplier confirmed that no types of masks or respirators are available currently and don't expect availability till atleast 2 months.,Called by AMR on 3/30,Called supplier directly on 3/30. Supplier confirmed that no types of masks or respirators are available currently and don't expect availability till atleast 2 months.
1500 Series N95 Healthcare Particulate Respirator and Surgical Mask (x-small) 234565,1500 Series N95 Healthcare Particulate Respirator and Surgical Mask (x-small),1500 Series N95 Healthcare Particulate Respirator and Surgical Mask (x-small),N/A, $188.01 , CA ,Available - In Stock,234565,we234w38,Ark Safety,"New York, United States",example1@example2.com,717-692-4837,https://www.arksafety.com/products/1500-series-n95-healthcare-particulate-respirator-and-surgical-mask-0,https://www.arksafety.com/products/1500-series-n95-healthcare-particulate-respirator-and-surgical-mask-0,Moldex,12125842158,Mask,Mask,"New York, United States",Called supplier directly on 3/30. Supplier confirmed that no types of masks or respirators are available currently and don't expect availability till atleast 2 months.,Called by AMR on 3/30,Called supplier directly on 3/30. Supplier confirmed that no types of masks or respirators are available currently and don't expect availability till atleast 2 months.
1501 Series N95 Healthcare Particulate Respirator and Surgical Mask (small) 234566,1501 Series N95 Healthcare Particulate Respirator and Surgical Mask (small),1501 Series N95 Healthcare Particulate Respirator and Surgical Mask (small),N/A, $189.01 , CA ,Available - In Stock,234566,we234w39,Ark Safety,"New York, United States",example1@example2.com,717-692-4837,https://www.arksafety.com/products/1500-series-n95-healthcare-particulate-respirator-and-surgical-mask-0,https://www.arksafety.com/products/1500-series-n95-healthcare-particulate-respirator-and-surgical-mask-0,Moldex,12125842158,Mask,Mask,"New York, United States",Called supplier directly on 3/30. Supplier confirmed that no types of masks or respirators are available currently and don't expect availability till atleast 2 months.,Called by AMR on 3/30,Called supplier directly on 3/30. Supplier confirmed that no types of masks or respirators are available currently and don't expect availability till atleast 2 months.
1502 Series N95 Healthcare Particulate Respirator and Surgical Mask (medium) 234567,1502 Series N95 Healthcare Particulate Respirator and Surgical Mask (medium),1502 Series N95 Healthcare Particulate Respirator and Surgical Mask (medium),N/A, $190.01 , CA ,Available - In Stock,234567,we234w40,Ark Safety,"New York, United States",example1@example2.com,717-692-4837,https://www.arksafety.com/products/1500-series-n95-healthcare-particulate-respirator-and-surgical-mask-2,https://www.arksafety.com/products/1500-series-n95-healthcare-particulate-respirator-and-surgical-mask-2,Moldex,12125842158,Mask,Mask,"New York, United States",Called supplier directly on 3/30. Supplier confirmed that no types of masks or respirators are available currently and don't expect availability till atleast 2 months.,Called by AMR on 3/30,Called supplier directly on 3/30. Supplier confirmed that no types of masks or respirators are available currently and don't expect availability till atleast 2 months.
1503 Series N95 Healthcare Particulate Respirator and Surgical Mask (large) 234568,1503 Series N95 Healthcare Particulate Respirator and Surgical Mask (large),1503 Series N95 Healthcare Particulate Respirator and Surgical Mask (large),N/A, $191.01 , CA ,Available - In Stock,234568,we234w41,Ark Safety,"New York, United States",example1@example2.com,717-692-4837,https://www.arksafety.com/products/1500-series-n95-healthcare-particulate-respirator-and-surgical-mask-3,https://www.arksafety.com/products/1500-series-n95-healthcare-particulate-respirator-and-surgical-mask-3,Moldex,12125842158,Mask,Mask,"New York, United States",Called supplier directly on 3/30. Supplier confirmed that no types of masks or respirators are available currently and don't expect availability till atleast 2 months.,Called by AMR on 3/30,Called supplier directly on 3/30. Supplier confirmed that no types of masks or respirators are available currently and don't expect availability till atleast 2 months.
1504 Series N95 Healthcare Particulate Respirator and Surgical Mask (low profile) 234569,1504 Series N95 Healthcare Particulate Respirator and Surgical Mask (low profile),1504 Series N95 Healthcare Particulate Respirator and Surgical Mask (low profile),N/A, $192.01 , CA ,Available - In Stock,234569,we234w42,Ark Safety,"New York, United States",example1@example2.com,717-692-4837,https://www.arksafety.com/products/1500-series-n95-healthcare-particulate-respirator-and-surgical-mask-4,https://www.arksafety.com/products/1500-series-n95-healthcare-particulate-respirator-and-surgical-mask-4,Moldex,12125842158,Mask,Mask,"New York, United States",Called supplier directly on 3/30. Supplier confirmed that no types of masks or respirators are available currently and don't expect availability till atleast 2 months.,Called by AMR on 3/30,Called supplier directly on 3/30. Supplier confirmed that no types of masks or respirators are available currently and don't expect availability till atleast 2 months.
SAF-T-FIT PLUS N1105 ECONOMICAL RESPIRATOR (small - x large) 234570,SAF-T-FIT PLUS N1105 ECONOMICAL RESPIRATOR (small - x large),SAF-T-FIT PLUS N1105 ECONOMICAL RESPIRATOR (small - x large),N/A, $15.99 , BX ,Available - In Stock,234570,we234w43,Ark Safety,"New York, United States",example1@example2.com, 717-692-4837,https://www.arksafety.com/products/saf-t-fit-plus-n1105-economical-respirator,https://www.arksafety.com/products/saf-t-fit-plus-n1105-economical-respirator,Honeywell,12125842158,Mask,Mask,"New York, United States",Called supplier directly on 3/30. Supplier confirmed that no types of masks or respirators are available currently and don't expect availability till atleast 2 months.,Called by AMR on 3/30,Called supplier directly on 3/30. Supplier confirmed that no types of masks or respirators are available currently and don't expect availability till atleast 2 months.
SAF-T-FIT PLUS N1115 STANDARD RESPIRATOR (small - xlarge) 234571,SAF-T-FIT PLUS N1115 STANDARD RESPIRATOR (small - xlarge),SAF-T-FIT PLUS N1115 STANDARD RESPIRATOR (small - xlarge),N/A, $18.10 , BX ,Available - In Stock,234571,we234w44,Ark Safety,"New York, United States",example1@example2.com,717-692-4845,https://www.arksafety.com/products/saf-t-fit-plus-n1115-standard-respirator,https://www.arksafety.com/products/saf-t-fit-plus-n1115-standard-respirator,Honeywell,12125842158,Mask,Mask,"New York, United States",Called supplier directly on 3/30. Supplier confirmed that no types of masks or respirators are available currently and don't expect availability till atleast 2 months.,Called by AMR on 3/30,Called supplier directly on 3/30. Supplier confirmed that no types of masks or respirators are available currently and don't expect availability till atleast 2 months.
SAF-T-FIT PLUS N1125 PREMIUM RESPIRATOR 234572,SAF-T-FIT PLUS N1125 PREMIUM RESPIRATOR,SAF-T-FIT PLUS N1125 PREMIUM RESPIRATOR,N/A, $37.07 , BX ,Available - In Stock,234572,we234w45,Ark Safety,"New York, United States",example1@example2.com,717-692-4846,https://www.arksafety.com/products/saf-t-fit-plus-n1125-premium-respirator,https://www.arksafety.com/products/saf-t-fit-plus-n1125-premium-respirator,Honeywell,12125842158,Mask,Mask,"New York, United States",Called supplier directly on 3/30. Supplier confirmed that no types of masks or respirators are available currently and don't expect availability till atleast 2 months.,Called by AMR on 3/30,Called supplier directly on 3/30. Supplier confirmed that no types of masks or respirators are available currently and don't expect availability till atleast 2 months.
SAF-T-FIT PLUS N99 RESPIRATOR 234573,SAF-T-FIT PLUS N99 RESPIRATOR,SAF-T-FIT PLUS N99 RESPIRATOR,N/A, $28.37 , BX ,Not Available - Out of Stock,234573,we234w46,,"New York, United States",example1@example2.com,,https://www.arksafety.com/products/saf-t-fit-plus-n99-respirator,https://www.arksafety.com/products/saf-t-fit-plus-n99-respirator,,12125842158,Mask,Mask,"New York, United States",Called supplier directly on 3/30. Supplier confirmed that no types of masks or respirators are available currently and don't expect availability till atleast 2 months.,Called by AMR on 3/30,Called supplier directly on 3/30. Supplier confirmed that no types of masks or respirators are available currently and don't expect availability till atleast 2 months.
